Cliente criado: oi | CPF: 000 | (11-06-2024 10:25:33)
Cliente criado: vava | CPF: 123 | (11-06-2024 10:32:32)
Nova conta criada para o cliente vava | Conta: 1 | (11-06-2024 10:32:43)
Conta: 1 | Tipo: Deposito | Valor: R$ 50.00 | (11-06-2024 10:32:55)
Cliente criado: vava | CPF: 000 | (12-06-2024 14:44:36)
Cliente criado: bianca | CPF: 777 | (12-06-2024 14:48:29)
Cliente criado: joao | CPF: 999 | (12-06-2024 14:50:29)
Nova conta criada para o cliente joao | Conta: 1 | (12-06-2024 14:52:48)
Cliente criado: ju | CPF: 444 | (12-06-2024 15:00:32)
Nova conta criada para o cliente ju | Conta: 1 | (12-06-2024 15:00:44)
Cliente criado: lala | CPF: 00 | (12-06-2024 17:09:45)
Cliente criado: vava | CPF: 12345678910 | (12-06-2024 17:19:36)
Cliente criado: duda | CPF: 00000000000 | (13-06-2024 14:13:31)
Cliente criado: thiago | CPF: 77777777777 | (19-06-2024 10:14:28)
Cliente criado: marcia | CPF: 88888888888 | (19-06-2024 10:18:54)
